county_code,district_code,school_code,filler,test_year,subgroup_id,test_type,total_caaspp_enrollment,total_tested_at_entity_level,total_tested_at_subgroup_level,grade,test_id,caaspp_reported_enrollment,students_tested,percent_tested,mean_scale_score,percentage_standard_exceeded,percentage_standard_met,percentage_standard_met_and_above,percentage_standard_nearly_met,percentage_standard_not_met,students_with_scores,area_1_percentage_above_standard,area_1_percentage_at_or_near_standard,area_1_percentage_below_standard,area_2_percentage_above_standard,area_2_percentage_at_or_near_standard,area_2_percentage_below_standard,area_3_percentage_above_standard,area_3_percentage_at_or_near_standard,area_3_percentage_below_standard,area_4_percentage_above_standard,area_4_percentage_at_or_near_standard,area_4_percentage_below_standard,state_id
1,"","",,2015,79,B,134777,130909,1481,4,2,17437,184,1.1,2441.3,7,19,26,40,35,184,16,30,54,12,43,45,13,42,45,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,5,2,17365,180,1.0,2451.8,6,9,15,34,51,180,9,26,66,6,34,60,4,44,52,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,5,1,17365,178,1.0,2453.8,7,22,30,29,42,178,10,38,52,12,47,40,7,58,35,22,48,30,01000000000000
1,"","",,2015,79,B,134777,130909,1481,6,1,17089,152,0.9,2484.8,5,23,28,33,39,152,7,45,47,13,45,41,7,73,20,13,62,24,01000000000000
1,"","",,2015,79,B,134777,130909,1481,6,2,17089,150,0.9,2479.9,9,11,20,39,41,150,13,30,56,10,45,45,10,47,42,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,7,2,16462,181,1.1,2483.4,6,15,22,29,49,181,12,27,61,7,51,42,8,66,27,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,7,1,16462,180,1.1,2496.5,3,23,26,33,41,180,8,38,53,16,48,36,6,59,34,9,58,32,01000000000000
1,"","",,2015,79,B,134777,130909,1481,8,1,16509,172,1.0,2525.3,6,26,32,33,35,172,13,41,46,15,54,31,10,56,34,13,56,30,01000000000000
1,"","",,2015,79,B,134777,130909,1481,8,2,16509,183,1.1,2501.7,9,12,21,28,51,183,11,30,59,10,44,45,7,54,40,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,11,2,15793,175,1.1,2528.5,5,14,19,29,53,175,10,31,58,8,46,45,6,57,37,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,11,1,15793,177,1.1,2557.7,12,32,44,32,25,177,19,51,29,20,48,29,12,60,25,17,59,21,01000000000000
1,"","",,2015,79,B,134777,130909,1481,13,1,118342,1241,1.0,"",7,23,30,30,40,1241,10,42,47,14,48,37,8,61,30,14,54,32,01000000000000
1,"","",,2015,79,B,134777,130909,1481,13,2,118342,1249,1.1,"",6,14,21,33,46,1249,12,30,58,8,44,48,8,52,40,0,0,0,01000000000000
1,"","",,2015,80,B,134777,130909,26705,3,1,17687,3267,18.5,2456.4,38,27,65,21,15,3266,38,43,19,32,49,18,32,58,9,33,51,15,01000000000000
1,"","",,2015,80,B,134777,130909,26705,3,2,17687,3317,18.8,2464.0,32,35,67,20,13,3316,47,34,19,42,42,15,42,46,12,0,0,0,01000000000000
1,"","",,2015,80,B,134777,130909,26705,4,1,17437,3338,19.1,2500.1,39,26,65,17,17,3338,35,46,19,35,48,17,31,59,10,31,50,14,01000000000000
